Field,[RMS2003],xpos,ypos,Per (days),A (mag),Jsmag,Hmag,<Ks>mag,prob,log_m,Mass (M_Solar),jks_008,log_t,age_008 (years),delta_t (years),J-Ks,Mass,Kcor_008,age_008,delta_t
F2,832,51.849,373.813,439,0.402,21.75,20.96,20.12,116.37,0.20009999999999994,1.59,1.7300000000000004,9.3327515,2151550282.0,1739929,1.7300000000000004,1.5852581696229442,19.96,2151550281.7339773,1739928.93149748
F2,1536,414.598,114.209,410,0.438,22.01,20.6,20.12,121.81,0.20009999999999994,1.59,1.990000000000002,9.3327515,2151550282.0,1739929,1.990000000000002,1.5852581696229442,19.96,2151550281.7339773,1739928.93149748
F2,1204,319.576,816.011,398,0.259,21.81,20.75,20.12,106.23,0.20009999999999994,1.59,1.7899999999999991,9.3327515,2151550282.0,1739929,1.7899999999999991,1.5852581696229442,19.96,2151550281.7339773,1739928.93149748
F2,905,442.866,243.989,321,0.329,20.94,20.18,20.11,105.63,0.20220000000000016,1.59,0.9300000000000033,9.327532999999999,2125851873.0,1763438,0.9300000000000033,1.5929421351276283,19.95,2125851872.589618,1763437.682070616
F2,870,265.326,15.04,451,0.444,21.62,20.85,20.11,115.96,0.20220000000000016,1.59,1.610000000000003,9.327532999999999,2125851873.0,1763438,1.610000000000003,1.5929421351276283,19.95,2125851872.589618,1763437.682070616
F2,1258,43.96,221.394,396,0.36,21.55,20.48,20.11,117.43,0.20220000000000016,1.59,1.5400000000000027,9.327532999999999,2125851873.0,1763438,1.5400000000000027,1.5929421351276283,19.95,2125851872.589618,1763437.682070616
F2,1349,872.937,654.931,480,0.452,20.9,20.29,20.11,107.66,0.20220000000000016,1.59,0.8900000000000006,9.327532999999999,2125851873.0,1763438,0.8900000000000006,1.5929421351276283,19.95,2125851872.589618,1763437.682070616
F2,1390,756.298,-9.293,364,0.342,21.6,20.95,20.1,114.03,0.2042999999999997,1.6,1.6000000000000014,9.322314500000001,2100460409.0,1786787,1.6000000000000014,1.600663345875393,19.94,2100460408.7387035,1786786.5941889922
F2,852,233.105,436.758,443,0.495,21.07,20.14,20.1,119.78,0.2042999999999997,1.6,1.0700000000000003,9.322314500000001,2100460409.0,1786787,1.0700000000000003,1.600663345875393,19.94,2100460408.7387035,1786786.5941889922
F2,938,384.965,361.451,427,0.348,21.8,21.01,20.1,114.53,0.2042999999999997,1.6,1.8000000000000007,9.322314500000001,2100460409.0,1786787,1.8000000000000007,1.600663345875393,19.94,2100460408.7387035,1786786.5941889922
F2,1200,885.058,465.589,369,0.379,21.53,21.08,20.1,117.37,0.2042999999999997,1.6,1.5300000000000011,9.322314500000001,2100460409.0,1786787,1.5300000000000011,1.600663345875393,19.94,2100460408.7387035,1786786.5941889922
F2,1403,570.336,356.383,381,0.436,21.76,20.73,20.1,121.64,0.2042999999999997,1.6,1.7600000000000016,9.322314500000001,2100460409.0,1786787,1.7600000000000016,1.600663345875393,19.94,2100460408.7387035,1786786.5941889922
F2,645,753.39,308.952,445,0.552,21.84,21.19,20.1,121.13,0.2042999999999997,1.6,1.8399999999999999,9.322314500000001,2100460409.0,1786787,1.8399999999999999,1.600663345875393,19.94,2100460408.7387035,1786786.5941889922
F2,1138,351.421,437.518,424,0.297,21.73,20.96,20.1,109.92,0.2042999999999997,1.6,1.7300000000000004,9.322314500000001,2100460409.0,1786787,1.7300000000000004,1.600663345875393,19.94,2100460408.7387035,1786786.5941889922
F2,1736,40.346,627.771,193,0.247,22.55,21.26,20.29,81.12,0.20562636363636555,1.61,1.7,9.319018486363632,2084579614.0,1801444,2.360000000000003,1.6055593485460693,19.933683982683974,2084579614.3112712,1801443.6869947026
F2,1159,590.311,348.722,355,0.334,21.36,20.61,20.09,112.17,0.20640000000000014,1.61,1.370000000000001,9.317096,2075372224.0,1809958,1.370000000000001,1.6084219823990862,19.93,2075372223.9848745,1809958.4802155143
F2,976,833.153,409.515,462,0.408,21.67,21.15,20.09,111.35,0.20640000000000014,1.61,1.6800000000000033,9.317096,2075372224.0,1809958,1.6800000000000033,1.6084219823990862,19.93,2075372223.9848745,1809958.4802155143
F2,884,587.084,469.637,372,0.313,21.29,20.57,20.09,112.12,0.20640000000000014,1.61,1.3000000000000007,9.317096,2075372224.0,1809958,1.3000000000000007,1.6084219823990862,19.93,2075372223.9848745,1809958.4802155143
F2,1428,310.168,448.889,400,0.37,21.73,20.58,20.09,118.15,0.20640000000000014,1.61,1.740000000000002,9.317096,2075372224.0,1809958,1.740000000000002,1.6084219823990862,19.93,2075372223.9848745,1809958.4802155143
F2,1300,721.038,644.433,427,0.27,21.62,20.54,20.09,106.1,0.20640000000000014,1.61,1.6300000000000026,9.317096,2075372224.0,1809958,1.6300000000000026,1.6084219823990862,19.93,2075372223.9848745,1809958.4802155143
F2,1014,798.49,34.797,290,0.266,21.45,20.52,20.09,92.46,0.20640000000000014,1.61,1.4600000000000009,9.317096,2075372224.0,1809958,1.4600000000000009,1.6084219823990862,19.93,2075372223.9848745,1809958.4802155143
F2,720,490.606,232.419,427,0.515,21.27,20.17,20.09,123.24,0.20640000000000014,1.61,1.2800000000000011,9.317096,2075372224.0,1809958,1.2800000000000011,1.6084219823990862,19.93,2075372223.9848745,1809958.4802155143
F2,993,28.742,806.438,277,0.247,21.3,20.32,20.08,87.35,0.20850000000000035,1.62,1.3200000000000038,9.3118775,2050583696.0,1832936,1.3200000000000038,1.6162182261066143,19.919999999999998,2050583695.9213793,1832935.998434056
F2,1129,541.726,448.683,288,0.31,21.0,20.42,20.08,96.85,0.20850000000000035,1.62,1.0200000000000031,9.3118775,2050583696.0,1832936,1.0200000000000031,1.6162182261066143,19.919999999999998,2050583695.9213793,1832935.998434056
F2,1096,164.605,652.455,185,0.241,21.22,20.35,20.08,81.0,0.20850000000000035,1.62,1.240000000000002,9.3118775,2050583696.0,1832936,1.240000000000002,1.6162182261066143,19.919999999999998,2050583695.9213793,1832935.998434056
F2,883,136.275,129.456,757,0.44,21.2,20.25,20.07,29.56,0.21060000000000012,1.62,1.2300000000000004,9.306659,2026091245.0,1855702,1.2300000000000004,1.6240522592851947,19.91,2026091245.407951,1855701.6729279028
F2,1065,137.791,178.163,407,0.354,21.24,20.21,20.07,116.73,0.21060000000000012,1.62,1.2699999999999996,9.306659,2026091245.0,1855702,1.2699999999999996,1.6240522592851947,19.91,2026091245.407951,1855701.6729279028
F2,1074,851.034,88.744,464,0.231,21.95,20.92,20.07,93.01,0.21060000000000012,1.62,1.9800000000000004,9.306659,2026091245.0,1855702,1.9800000000000004,1.6240522592851947,19.91,2026091245.407951,1855701.6729279028
F2,1147,234.777,555.588,351,0.283,21.35,20.73,20.07,106.19,0.21060000000000012,1.62,1.3800000000000026,9.306659,2026091245.0,1855702,1.3800000000000026,1.6240522592851947,19.91,2026091245.407951,1855701.6729279028
F2,872,543.791,359.843,427,0.362,22.0,20.98,20.09,115.62,0.21146500000000046,1.63,1.7,9.304509475,2016087955.0,1865013,2.0100000000000016,1.627290166264853,19.90588095238095,2016087955.1628838,1865013.2529386678
F2,746,128.006,596.062,418,0.409,21.89,21.06,20.06,119.68,0.21270000000000033,1.63,1.9300000000000033,9.3014405,2001891336.0,1878238,1.9300000000000033,1.631924265105622,19.9,2001891336.0540698,1878237.9141236607
F2,841,350.13,761.766,310,0.266,21.23,20.2,20.06,96.54,0.21270000000000033,1.63,1.2700000000000031,9.3014405,2001891336.0,1878238,1.2700000000000031,1.631924265105622,19.9,2001891336.0540698,1878237.9141236607
F2,1184,690.203,725.324,326,0.344,21.55,20.69,20.06,107.9,0.21270000000000033,1.63,1.5900000000000034,9.3014405,2001891336.0,1878238,1.5900000000000034,1.631924265105622,19.9,2001891336.0540698,1878237.9141236607
F2,1216,232.343,42.286,187,0.306,21.24,20.28,20.06,88.08,0.21270000000000033,1.63,1.2800000000000011,9.3014405,2001891336.0,1878238,1.2800000000000011,1.631924265105622,19.9,2001891336.0540698,1878237.9141236607
F2,897,496.569,370.754,450,0.457,22.2,20.85,20.15,116.76,0.21332954545454674,1.63,1.7,9.299876079545452,1994693073.0,1884947,2.150000000000002,1.6342915885115512,19.897002164502158,1994693073.241687,1884946.5699123447
F2,1260,831.726,578.119,417,0.647,22.81,22.11,20.35,127.81,0.21369000000000105,1.64,1.7,9.298980349999997,1990583271.0,1888778,2.5599999999999987,1.6356485764278945,19.89528571428571,1990583271.4228356,1888777.5168984167
F2,789,723.67,55.691,483,0.415,21.12,20.26,20.05,104.98,0.21479999999999988,1.64,1.1700000000000017,9.296222,1977980474.0,1900527,1.1700000000000017,1.6398344276265362,19.89,1977980473.7083445,1900527.0399725228
F2,906,839.347,811.938,341,0.385,21.09,20.39,20.05,113.7,0.21479999999999988,1.64,1.1400000000000006,9.296222,1977980474.0,1900527,1.1400000000000006,1.6398344276265362,19.89,1977980473.7083445,1900527.0399725228
F2,605,593.389,604.382,326,0.428,20.88,20.14,20.04,113.08,0.21690000000000031,1.65,0.9400000000000013,9.291003499999999,1954355206.0,1922551,0.9400000000000013,1.6477829317987454,19.88,1954355205.9539955,1922551.2977389772
F2,1190,521.926,783.06,386,0.336,21.73,20.5,20.04,115.24,0.21690000000000031,1.65,1.7900000000000027,9.291003499999999,1954355206.0,1922551,1.7900000000000027,1.6477829317987454,19.88,1954355205.9539955,1922551.2977389772
F2,641,863.081,172.932,431,0.5,21.84,20.94,20.04,122.14,0.21690000000000031,1.65,1.9000000000000021,9.291003499999999,1954355206.0,1922551,1.9000000000000021,1.6477829317987454,19.88,1954355205.9539955,1922551.2977389772
F2,701,695.499,245.672,424,0.384,21.85,21.03,20.04,117.53,0.21690000000000031,1.65,1.9100000000000037,9.291003499999999,1954355206.0,1922551,1.9100000000000037,1.6477829317987454,19.88,1954355205.9539955,1922551.2977389772
F2,860,508.933,137.441,506,0.592,21.47,20.66,20.04,101.1,0.21690000000000031,1.65,1.5300000000000011,9.291003499999999,1954355206.0,1922551,1.5300000000000011,1.6477829317987454,19.88,1954355205.9539955,1922551.2977389772
