,xpos,ypos,J,Ks,J-Ks,Per (days),A (mag),prob,Log(M/Ms),M/Ms,Log(t),t,Log(dt),dt,Selected_Z,alpha
87,593.086,698.145,21.970000000000002,20.54,1.4300000000000033,275,0.249,50.35,0.10175000000000006,1.2640085162128618,9.508469999999999,3224556567.14638,5.781101070804979,604089.1991513958,0.008,2.3
88,694.102,639.796,21.68,20.53,1.1499999999999986,254,0.216,42.27,0.10249999999999998,1.2661932675109442,9.505059999999999,3199337083.9127994,5.783311989573723,607172.3549728108,0.008,2.3
89,438.041,97.386,21.66,20.52,1.1400000000000006,287,0.339,66.05,0.10325000000000012,1.2683817950005425,9.501649999999998,3174314844.027668,5.785512475799541,610256.5869836657,0.008,2.3
90,606.274,349.345,22.84,20.51024242424242,1.7,465,0.681,51.78,0.10398181818181845,1.2705209135039142,9.498322666666663,3150087857.6552067,5.787649525331297,613266.9004101269,0.008,2.3
91,852.05,611.405,22.14,20.51,1.629999999999999,291,0.445,74.19,0.10399999999999993,1.2705741052085415,9.49824,3149488304.836927,5.7877024925319445,613341.6999142381,0.008,2.3
92,903.969,362.99,22.380000000000003,20.5,1.8800000000000026,261,0.525,73.99,0.10475000000000007,1.2727702046731098,9.494829999999999,3124855935.751684,5.789882002865008,616427.4967153427,0.008,2.3
93,75.009,169.117,21.87,20.5,1.370000000000001,696,0.272,4.53,0.10475000000000007,1.2727702046731098,9.494829999999999,3124855935.751684,5.789882002865008,616427.4967153427,0.008,2.3
94,801.008,814.429,21.450000000000003,20.49,0.9600000000000044,311,0.388,71.37,0.1055000000000002,1.2749700999437146,9.491419999999998,3100416218.1539288,5.792050969937785,619513.7785698806,0.008,2.3
95,737.949,479.971,21.89,20.49,1.4000000000000021,160,0.238,48.47,0.1055000000000002,1.2749700999437146,9.491419999999998,3100416218.1539288,5.792050969937785,619513.7785698806,0.008,2.3
96,677.455,807.19,21.6,20.49,1.110000000000003,250,0.264,53.18,0.1055000000000002,1.2749700999437146,9.491419999999998,3100416218.1539288,5.792050969937785,619513.7785698806,0.008,2.3
97,793.095,281.772,22.37,20.49,1.8800000000000026,306,0.426,73.66,0.1055000000000002,1.2749700999437146,9.491419999999998,3100416218.1539288,5.792050969937785,619513.7785698806,0.008,2.3
98,779.232,544.839,22.03,20.48,1.5500000000000007,272,0.316,62.63,0.10625000000000001,1.277173797581143,9.48801,3076167645.3028684,5.7942093569347035,622600.3449048179,0.008,2.3
99,140.809,632.952,21.32,20.47,0.8500000000000014,270,0.349,66.96,0.10700000000000015,1.279381304157525,9.484599999999999,3052108722.2419977,5.796357127085982,625686.9934036463,0.008,2.3
100,215.885,336.602,21.290000000000003,20.47,0.8200000000000038,308,0.455,74.65,0.10700000000000015,1.279381304157525,9.484599999999999,3052108722.2419977,5.796357127085982,625686.9934036463,0.008,2.3
101,130.634,718.495,21.810000000000002,20.47,1.3400000000000034,628,0.265,11.97,0.10700000000000015,1.279381304157525,9.484599999999999,3052108722.2419977,5.796357127085982,625686.9934036463,0.008,2.3
102,31.338,245.559,22.3,20.46,1.8399999999999999,436,0.594,62.65,0.10774999999999996,1.2815926262563464,9.481189999999998,3028237965.70701,5.798494243668025,628773.5200192815,0.008,2.3
103,395.348,403.649,22.110000000000003,20.46,1.6500000000000021,293,0.401,72.09,0.10774999999999996,1.2815926262563464,9.481189999999998,3028237965.70701,5.798494243668025,628773.5200192815,0.008,2.3
104,705.344,239.892,21.860000000000003,20.45,1.4100000000000037,315,0.513,74.74,0.1085000000000001,1.2838077704724757,9.47778,3004553904.0343113,5.800620670003849,631859.7189874668,0.008,2.3
