Field,[RMS2003],xpos,ypos,Per (days),A (mag),Jsmag,Hmag,<Ks>mag,prob,log_m,Mass (M_Solar),jks_008,log_t,age_008 (years),delta_t (years),J-Ks,Mass,Kcor_008,age_008,delta_t
F1,571,204.22,129.73,357,0.259,21.62,20.74,20.04,106.95,0.21690000000000031,1.65,1.6800000000000033,9.291003499999999,1954355206.0,1922551,1.6800000000000033,1.6477829317987454,19.88,1954355205.9539955,1922551.2977389772
F1,560,175.575,324.498,368,0.372,21.74,21.12,20.04,116.21,0.21690000000000031,1.65,1.8000000000000007,9.291003499999999,1954355206.0,1922551,1.8000000000000007,1.6477829317987454,19.88,1954355205.9539955,1922551.2977389772
F1,388,310.293,220.148,372,0.346,21.14,20.48,20.02,114.41,0.2211000000000003,1.66,1.2200000000000024,9.280566499999999,1907947850.0,1965734,1.2200000000000024,1.6637957093870013,19.86,1907947850.2405274,1965733.9793686294
F1,393,434.904,18.061,191,0.22,21.04,20.2,20.02,89.09,0.2211000000000003,1.66,1.120000000000001,9.280566499999999,1907947850.0,1965734,1.120000000000001,1.6637957093870013,19.86,1907947850.2405274,1965733.9793686294
F1,364,461.075,786.365,480,0.426,21.0,20.11,20.02,93.7,0.2211000000000003,1.66,1.0800000000000018,9.280566499999999,1907947850.0,1965734,1.0800000000000018,1.6637957093870013,19.86,1907947850.2405274,1965733.9793686294
F1,311,51.93,187.867,461,0.508,22.13,20.67,20.1,103.61,0.22176318181818266,1.67,1.7,9.278918493181816,1900721526.0,1972440,2.129999999999999,1.6663383204534274,19.856841991341987,1900721525.9032202,1972439.8027406943
F1,352,249.665,451.35,432,0.309,21.25,20.34,20.01,103.74,0.22319999999999984,1.67,1.3399999999999999,9.275348000000001,1885159062.0,1986857,1.3399999999999999,1.6718603572044655,19.85,1885159061.6643045,1986856.7482599688
F1,464,340.665,307.723,432,0.177,21.83,20.7,20.01,91.29,0.22319999999999984,1.67,1.9199999999999982,9.275348000000001,1885159062.0,1986857,1.9199999999999982,1.6718603572044655,19.85,1885159061.6643045,1986856.7482599688
F1,284,193.238,500.106,431,0.466,20.83,20.1,20.0,112.36,0.22530000000000006,1.68,0.9299999999999997,9.2701295,1862642465.0,2007643,0.9299999999999997,1.6799640954848134,19.84,1862642465.477762,2007643.3864019802
F1,369,825.349,606.238,436,0.454,21.77,20.79,20.0,110.63,0.22530000000000006,1.68,1.870000000000001,9.2701295,1862642465.0,2007643,1.870000000000001,1.6799640954848134,19.84,1862642465.477762,2007643.3864019802
F1,295,445.246,622.988,466,0.527,21.56,20.49,20.0,101.89,0.22530000000000006,1.68,1.6600000000000001,9.2701295,1862642465.0,2007643,1.6600000000000001,1.6799640954848134,19.84,1862642465.477762,2007643.3864019802
F1,316,721.808,688.04,448,0.371,21.79,20.83,19.99,103.36,0.2274000000000005,1.69,1.9000000000000021,9.264911,1840394811.0,2028076,1.9000000000000021,1.688107113704921,19.83,1840394810.5780067,2028076.133308543
F1,360,641.885,372.593,361,0.218,21.28,20.3,19.99,102.79,0.2274000000000005,1.69,1.3900000000000041,9.264911,1840394811.0,2028076,1.3900000000000041,1.688107113704921,19.83,1840394810.5780067,2028076.133308543
F1,213,113.806,521.844,526,0.592,21.7,20.73,19.98,72.75,0.22950000000000004,1.7,1.8200000000000003,9.2596925,1818412885.0,2048137,1.8200000000000003,1.6962896022600826,19.82,1818412884.693729,2048137.2993165182
F1,419,248.91,805.041,450,0.076,21.37,20.71,19.98,75.74,0.22950000000000004,1.7,1.490000000000002,9.2596925,1818412885.0,2048137,1.490000000000002,1.6962896022600826,19.82,1818412884.693729,2048137.2993165182
F1,375,394.411,672.023,196,0.272,21.07,20.23,19.98,93.69,0.22950000000000004,1.7,1.1900000000000013,9.2596925,1818412885.0,2048137,1.1900000000000013,1.6962896022600826,19.82,1818412884.693729,2048137.2993165182
F1,361,266.155,53.191,403,0.226,21.15,20.29,19.98,101.49,0.22950000000000004,1.7,1.2699999999999996,9.2596925,1818412885.0,2048137,1.2699999999999996,1.6962896022600826,19.82,1818412884.693729,2048137.2993165182
F1,224,314.828,367.392,562,0.546,21.45,20.25,19.97,52.41,0.23160000000000025,1.7,1.5800000000000018,9.254474,1796693514.0,2067809,1.5800000000000018,1.7045117524684748,19.81,1796693513.9214332,2067809.2905936146
F1,362,267.73,522.355,190,0.198,21.1,20.36,19.96,86.96,0.23370000000000002,1.71,1.240000000000002,9.2492555,1775233562.0,2087075,1.240000000000002,1.7127737565756094,19.8,1775233562.2671578,2087074.6344339652
F1,555,618.959,401.389,428,0.471,21.56,20.84,19.96,113.27,0.23370000000000002,1.71,1.6999999999999993,9.2492555,1775233562.0,2087075,1.6999999999999993,1.7127737565756094,19.8,1775233562.2671578,2087074.6344339652
F1,497,449.506,396.456,403,0.312,21.04,20.67,19.96,109.46,0.23370000000000002,1.71,1.1799999999999997,9.2492555,1775233562.0,2087075,1.1799999999999997,1.7127737565756094,19.8,1775233562.2671578,2087074.6344339652
F1,382,147.26,308.85,464,0.718,23.11,21.97,20.38,101.03,0.23528590909091252,1.72,1.7,9.245314515909083,1759197163.0,2101344,2.830000000000002,1.7190397101555455,19.792448051948035,1759197162.709801,2101343.661477348
F1,294,124.558,330.03,449,0.387,21.18,20.12,19.95,103.89,0.23580000000000023,1.72,1.3300000000000018,9.244036999999999,1754029931.0,2105916,1.3300000000000018,1.7210758077588468,19.79,1754029931.193673,2105916.00479326
